DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-20184	199.999999988	Boomer & Gio
2024-04-06	BROADCAST	301-18818	165.66913991	The Valenti Show with Rico
2024-04-06	BROADCAST	301-22259	153.996611695	94WIP Morning Show with DeCamara & Ritchie
2024-04-06	BROADCAST	301-14509	152.612900484	The Greg Hill Show
2024-04-06	BROADCAST	301-13671	149.659651157	Mully & Haugh Show
2024-04-06	BROADCAST	301-20383	145.57121676	Bernstein & Holmes Show
2024-04-06	BROADCAST	301-16620	144.453580602	Carton & Roberts
2024-04-06	BROADCAST	301-998	142.632515645	Parkins & Spiegel Show
2024-04-06	BROADCAST	301-18819	141.805976262	Karsch & Anderson
2024-04-06	BROADCAST	301-22270	140.974503976	Hugh Douglas and Joe Giglio
2024-04-06	BROADCAST	301-22802	140.709088458	Evan & Tiki
2024-04-06	BROADCAST	301-13110	139.412592604	Tiki & Tierney
2024-04-06	BROADCAST	301-16845	136.830454282	Katie & Company
2024-04-06	BROADCAST	301-22803	135.708159105	Brandon Tierney & Sal Licata
2024-04-06	BROADCAST	301-17619	132.693455235	94WIP Afternoons
2024-04-06	BROADCAST	301-17919	131.703779242	Shan & RJ
2024-04-06	BROADCAST	301-2307	130.566226404	CBS Sports Radio
2024-04-06	BROADCAST	301-21175	130.334463048	The Sports Junkies
2024-04-06	BROADCAST	301-22116	128.500342677	Gresh & Fauria
2024-04-06	BROADCAST	301-17603	127.981991541	WBBM Newsradio
2024-04-06	BROADCAST	301-12858	126.946081946	Schopp and Bulldog
2024-04-06	BROADCAST	301-2610	125.334697942	Ryan Arnold
2024-04-06	BROADCAST	301-1209	124.772642759	The Ken Carman Show with Anthony Lima
2024-04-06	BROADCAST	301-17619	124.732499231	Jon Marks & Ike Reese
2024-04-06	BROADCAST	301-585	124.693799945	Deborah Howell
2024-04-06	BROADCAST	301-12856	124.653013698	The Jeremy White Show
2024-04-06	BROADCAST	301-20856	123.484833017	Annalisa
2024-04-06	BROADCAST	301-18794	122.86134291	Stoney & Jansen with Heather
2024-04-06	BROADCAST	301-16784	122.510149275	BMitch & Finlay
2024-04-06	BROADCAST	301-17918	122.395495053	GBAG Nation
2024-04-06	BROADCAST	301-19758	121.748877073	The PM Team w/Poni & Mueller
2024-04-06	BROADCAST	301-19185	121.117731559	The Warm-Up Show with Al Dukes & Jerry Recco
2024-04-06	BROADCAST	301-17924	120.844482027	K&C Masterpiece
